t_usec,elapsed_sec,frame_ms,fps,process_ms,physics_ms,enemies,projectiles,physics_objects,nodes,chunks,flow_building,sim_full,sim_mid,sim_far,sim_protected,sim_physics_enabled,sim_pressure,sim_spatial_demotions,tier_changes_total,tier_reversals_total,world_materialized,world_data_only
656936563,609.795673,18.0555555555556,59.0,25.582,5.848,25,7,23,3622,26,false,8,17,0,0,25,0,17,323,33,25,74
656956136,609.815246,18.0555555555556,59.0,25.582,5.848,25,7,23,3623,26,false,8,17,0,0,25,0,17,323,33,25,74
656981335,609.840445,18.0555555555556,59.0,25.582,5.848,25,7,23,3618,26,false,8,17,0,0,25,0,17,323,33,25,74
656998040,609.85715,18.0555555555556,59.0,25.582,5.848,25,7,23,3617,26,false,8,17,0,0,25,0,17,323,33,25,74
657015559,609.874669,18.0555555555556,59.0,25.582,5.848,25,7,21,3617,26,false,8,17,0,0,25,0,17,323,33,25,74
657032815,609.891925,18.0555555555556,59.0,17.679,8.194,25,7,23,3616,26,false,8,17,0,0,25,0,17,323,33,25,74
657055593,609.914703,18.0555555555556,59.0,17.679,8.194,27,9,23,3616,26,false,10,17,0,0,27,0,17,323,33,27,74
657075844,609.934954,18.9374444444445,59.0,17.679,8.194,27,9,21,3616,26,false,10,17,0,0,27,0,17,323,33,27,74
657094277,609.953387,22.809,59.0,17.679,8.194,27,9,23,3616,26,false,10,17,0,0,27,0,17,323,33,27,74
657121774,609.980884,19.752,59.0,17.679,8.194,27,9,21,3616,26,false,10,17,0,0,27,0,17,323,33,27,74
657138332,609.997442,21.851,59.0,17.679,8.194,27,9,23,3616,26,false,10,17,0,0,27,0,17,323,33,27,74
657157577,610.016687,21.287,59.0,17.679,8.194,27,9,23,3616,26,false,10,17,0,0,27,0,17,323,33,27,74
657171884,610.030994,19.047619047619,59.0,17.679,8.194,27,9,21,3616,26,false,10,17,0,0,27,0,17,323,33,27,74
657193329,610.052439,19.047619047619,59.0,17.679,8.194,27,9,23,3616,26,false,10,17,0,0,27,0,17,323,33,27,74
657206902,610.066012,17.1364285714199,59.0,17.679,8.194,27,9,23,3617,26,false,10,17,0,0,27,0,17,323,33,27,74
657233317,610.092427,19.4444444444444,59.0,17.679,8.194,27,9,23,3618,26,false,10,17,0,0,27,0,17,323,33,27,74
657245572,610.104682,19.4444444444444,59.0,17.679,8.194,27,9,23,3618,26,false,10,17,0,0,27,0,17,323,33,27,74
657263293,610.122403,19.4444444444444,59.0,17.679,8.194,27,9,21,3618,26,false,10,17,0,0,27,0,17,323,33,27,74
657280800,610.13991,19.047619047619,59.0,17.679,8.194,27,9,23,3617,26,false,10,17,0,0,27,0,17,323,33,27,74
657298402,610.157512,19.047619047619,59.0,17.679,8.194,27,9,23,3616,26,false,10,17,0,0,27,0,17,323,33,27,74
657314211,610.173321,19.047619047619,59.0,17.679,8.194,27,9,21,3616,26,false,10,17,0,0,27,0,17,323,33,27,74
657333278,610.192388,17.8571428571429,59.0,17.679,8.194,27,9,23,3619,26,false,10,17,0,0,27,0,17,323,33,27,74
657352666,610.211776,19.047619047619,59.0,17.679,8.194,27,9,21,3619,26,false,10,17,0,0,27,0,17,323,33,27,74
657374216,610.233326,19.047619047619,59.0,17.679,8.194,27,9,23,3618,26,false,10,17,0,0,27,0,17,323,33,27,74
657392695,610.251805,19.047619047619,59.0,17.679,8.194,27,9,23,3619,26,false,10,17,0,0,27,0,17,323,33,27,74
657410298,610.269408,19.047619047619,59.0,17.679,8.194,27,9,21,3619,26,false,10,17,0,0,27,0,17,323,33,27,74
657432741,610.291851,19.047619047619,59.0,17.679,8.194,27,9,23,3619,26,false,10,17,0,0,27,0,17,323,33,27,74
657451199,610.310309,19.047619047619,59.0,17.679,8.194,27,9,23,3615,26,false,10,17,0,0,27,0,17,323,33,27,74
657470265,610.329375,19.047619047619,59.0,17.679,8.194,27,9,21,3615,26,false,10,17,0,0,27,0,17,323,33,27,74
657499206,610.358316,19.4444444444444,59.0,17.679,8.194,27,9,22,3617,26,false,10,17,0,0,27,0,17,323,33,27,74
657514378,610.373488,19.4444444444444,59.0,17.679,8.194,27,9,20,3617,26,false,10,17,0,0,27,0,17,323,33,27,74
657534343,610.393453,19.4444444444444,59.0,17.679,8.194,27,9,22,3618,26,false,10,17,0,0,27,0,17,323,33,27,74
657555730,610.41484,19.4444444444444,59.0,17.679,8.194,26,10,22,3619,26,false,10,17,0,0,27,0,17,323,33,26,74
657574448,610.433558,19.4444444444444,59.0,17.679,8.194,26,10,20,3619,26,false,10,17,0,0,27,0,17,323,33,26,74
657591345,610.450455,19.4444444444444,59.0,17.679,8.194,26,10,22,3619,26,false,10,17,0,0,27,0,17,323,33,26,74
657623535,610.482645,20.0060000000087,59.0,17.679,8.194,26,10,22,3628,26,false,10,17,0,0,27,0,17,323,33,26,74
657642166,610.501276,23.557,59.0,17.679,8.194,26,10,24,3628,26,false,10,17,0,0,27,0,17,323,33,26,74
657661426,610.520536,21.252,59.0,17.679,8.194,26,10,24,3628,26,false,10,17,0,0,27,0,17,323,33,26,74
657686473,610.545583,22.73,59.0,17.679,8.194,26,10,24,3633,26,false,10,17,0,0,27,0,17,323,33,26,74
657706977,610.566087,23.087,59.0,17.679,8.194,26,10,24,3636,26,false,10,17,0,0,27,0,17,323,33,26,74
657727056,610.586166,20.8333333333333,59.0,17.679,8.194,26,10,22,3635,26,false,10,17,0,0,27,0,17,323,33,26,74
657750485,610.609595,21.6666666666667,59.0,17.679,8.194,26,10,24,3637,26,false,10,17,0,0,27,0,17,323,33,26,74
657766616,610.625726,21.6666666666667,59.0,17.679,8.194,26,10,22,3635,26,false,10,17,0,0,27,0,17,323,33,26,74
657781336,610.640446,21.4285714285714,59.0,17.679,8.194,26,10,24,3635,26,false,10,17,0,0,27,0,17,323,33,26,74
657796151,610.655261,20.4394285714199,59.0,17.679,8.194,26,10,24,3631,26,false,10,17,0,0,27,0,17,323,33,26,74
657820238,610.679348,18.8690000000087,59.0,17.679,8.194,26,10,24,3629,26,false,10,17,0,0,27,0,17,323,33,26,74
657837020,610.69613,21.4285714285714,59.0,17.679,8.194,26,10,23,3630,26,false,10,17,0,0,27,0,17,323,33,26,74
657849965,610.709075,14.4394285714286,59.0,17.679,8.194,26,10,21,3630,26,false,10,17,0,0,27,0,17,323,33,26,74
657862775,610.721885,13.305,59.0,17.679,8.194,26,10,23,3630,26,false,10,17,0,0,27,0,17,323,33,26,74
657879352,610.738462,16.391,59.0,17.679,8.194,26,10,23,3630,26,false,10,17,0,0,27,0,17,323,33,26,74
657895565,610.754675,16.673,59.0,17.679,8.194,26,10,21,3629,26,false,10,17,0,0,27,0,17,323,33,26,74
657913978,610.773088,16.39,59.0,17.679,8.194,26,10,22,3636,26,false,10,17,0,0,27,0,17,323,33,26,74
657929133,610.788243,15.919,59.0,17.679,8.194,26,10,22,3636,26,false,10,17,0,0,27,0,17,323,33,26,74
657945311,610.804421,16.719,59.0,17.679,8.194,26,10,20,3635,26,false,10,17,0,0,27,0,17,323,33,26,74
657961708,610.820818,16.649,59.0,17.679,8.194,26,10,22,3635,26,false,10,17,0,0,27,0,17,323,33,26,74
657981128,610.840238,18.1818181818182,59.0,17.679,8.194,26,10,22,3635,26,false,10,17,0,0,27,0,17,323,33,26,74
657997681,610.856791,16.7651818181818,59.0,17.679,8.194,26,10,20,3634,26,false,10,17,0,0,27,0,17,323,33,26,74
658016201,610.875311,16.6666666666667,59.0,17.679,8.194,26,10,22,3630,26,false,10,17,0,0,27,0,17,323,33,26,74
658032447,610.891557,16.6666666666667,53.0,20.977,8.547,26,10,22,3630,26,false,10,17,0,0,27,0,17,323,33,26,74
658048597,610.907707,16.1276666666667,53.0,20.977,8.547,26,10,20,3630,26,false,9,17,0,0,26,0,17,323,33,26,74
658063158,610.922268,16.6666666666667,53.0,20.977,8.547,26,10,22,3629,26,false,9,17,0,0,26,0,17,323,33,26,74
658080261,610.939371,16.6666666666667,53.0,20.977,8.547,26,10,22,3629,26,false,9,17,0,0,26,0,17,323,33,26,74
658096917,610.956027,16.6666666666667,53.0,20.977,8.547,26,10,20,3629,26,false,9,17,0,0,26,0,17,323,33,26,74
658113551,610.972661,16.6666666666667,53.0,20.977,8.547,26,10,22,3629,26,false,9,17,0,0,26,0,17,323,33,26,74
658129019,610.988129,16.5133333333333,53.0,20.977,8.547,26,10,22,3629,26,false,9,17,0,0,26,0,17,323,33,26,74
658145954,611.005064,16.466,53.0,20.977,8.547,26,10,20,3628,26,false,9,17,0,0,26,0,17,323,33,26,74
658163962,611.023072,16.6666666666667,53.0,20.977,8.547,26,10,22,3628,26,false,9,17,0,0,26,0,17,323,33,26,74
658180601,611.039711,16.6666666666667,53.0,20.977,8.547,26,10,22,3628,26,false,9,17,0,0,26,0,17,323,33,26,74
