t_usec,elapsed_sec,frame_ms,fps,process_ms,physics_ms,enemies,projectiles,physics_objects,nodes,chunks,flow_building
436590635,407.239633,24.2873333333406,38.0,28.366,23.785,85,29,86,3009,23,false
436608127,407.257125,20.8333333333333,38.0,28.366,23.785,85,29,86,3010,23,false
436626668,407.275666,20.8333333333333,38.0,28.366,23.785,85,29,86,3011,23,false
436649174,407.298172,20.3703703703704,38.0,28.366,23.785,85,29,86,3011,23,false
436666992,407.31599,20.8333333333333,38.0,28.366,23.785,85,29,86,3005,23,false
436685469,407.334467,20.3703703703704,38.0,28.366,23.785,85,29,86,3005,23,false
436704365,407.353363,20.3703703703704,38.0,28.366,23.785,85,29,86,3004,23,false
436721309,407.370307,18.768222222215,38.0,28.366,23.785,85,29,86,3002,23,false
436748418,407.397416,20.3703703703704,38.0,28.366,23.785,85,29,86,3072,23,false
436766599,407.415597,20.8333333333333,38.0,28.366,23.785,85,29,84,3058,23,false
436784954,407.433952,20.3703703703704,38.0,28.366,23.785,85,29,84,3058,23,false
436801348,407.450346,20.3703703703704,38.0,28.366,23.785,85,29,84,3055,23,false
436824370,407.473368,20.3703703703704,38.0,28.366,23.785,85,29,84,3056,23,false
436840561,407.489559,20.3703703703704,38.0,28.366,23.785,85,29,84,3055,23,false
436854776,407.503774,16.8041481481554,38.0,28.366,23.785,85,29,84,3056,23,false
436894580,407.543578,20.3703703703704,38.0,28.366,23.785,83,28,84,3056,23,false
436951523,407.600521,35.698962962963,38.0,28.366,23.785,83,28,84,3051,23,false
436980899,407.629897,50.7233333333333,38.0,28.366,23.785,83,28,84,2991,23,false
437010601,407.659599,33.3333333333333,38.0,28.366,23.785,83,28,84,2991,23,false
437052168,407.701166,33.3333333333333,38.0,28.366,23.785,83,28,84,2989,23,false
437070668,407.719666,33.3333333333333,43.0,26.335,22.164,83,28,84,2989,23,false
437091140,407.740138,24.4223333333333,43.0,26.335,22.164,83,28,84,2988,23,false
437143469,407.792467,33.3333333333333,43.0,26.335,22.164,83,28,84,2992,23,false
437175049,407.824047,33.3333333333333,43.0,26.335,22.164,83,28,84,2993,23,false
437198448,407.847446,33.3333333333333,43.0,26.335,22.164,83,28,84,2994,23,false
437215149,407.864147,28.509,43.0,26.335,22.164,83,28,84,2992,23,false
437232277,407.881275,16.913,43.0,26.335,22.164,83,28,84,2992,23,false
437257600,407.906598,17.39,43.0,26.335,22.164,83,28,84,2990,23,false
437273410,407.922408,23.63,43.0,26.335,22.164,83,28,84,2990,23,false
437292961,407.941959,20.433,43.0,26.335,22.164,83,28,84,3059,23,false
437316585,407.965583,21.4285714285714,43.0,26.335,22.164,83,28,84,3057,23,false
437348715,407.997713,21.4285714285714,43.0,26.335,22.164,83,28,84,3086,23,false
437386630,408.035628,22.2222222222222,43.0,26.335,22.164,83,28,84,3113,23,false
437427744,408.076742,39.3009682539683,43.0,26.335,22.164,83,29,84,3143,26,false
437479149,408.128147,43.521,43.0,26.335,22.164,83,29,84,3168,26,false
437521383,408.170381,49.7303333333333,43.0,26.335,22.164,83,29,84,3105,26,false
437556559,408.205557,41.4556666666594,43.0,26.335,22.164,83,29,84,3107,26,false
437586788,408.235786,38.8888888888889,43.0,26.335,22.164,83,29,84,3107,26,false
437613696,408.262694,34.331777777785,43.0,26.335,22.164,83,29,84,3104,26,false
437643135,408.292133,29.453,43.0,26.335,22.164,83,29,84,3106,26,false
437661057,408.310055,25.95,43.0,26.335,22.164,83,29,84,3106,26,false
437685001,408.333999,21.219,43.0,26.335,22.164,83,29,84,3106,26,false
437706341,408.355339,19.706,43.0,26.335,22.164,83,29,84,3105,26,false
437723632,408.37263,21.958,43.0,26.335,22.164,83,29,84,3104,26,false
437738710,408.387708,15.514,43.0,26.335,22.164,83,29,84,3103,26,false
437753879,408.402877,15.016,43.0,26.335,22.164,83,29,84,3103,26,false
437767935,408.416933,14.167,43.0,26.335,22.164,83,29,84,3103,26,false
437775757,408.424755,13.037,43.0,26.335,22.164,83,29,84,3103,26,false
437800497,408.449495,16.6666666666667,43.0,26.335,22.164,83,29,84,3102,26,false
437822748,408.471746,16.6666666666667,43.0,26.335,22.164,83,29,84,3171,26,false
437838800,408.487798,16.6666666666667,43.0,26.335,22.164,83,29,84,3171,26,false
437856203,408.505201,16.6666666666667,43.0,26.335,22.164,83,29,84,3170,26,false
437873368,408.522366,16.6666666666667,43.0,26.335,22.164,83,29,84,3172,26,false
437889192,408.53819,16.6666666666667,43.0,26.335,22.164,83,29,84,3169,26,false
437906386,408.555384,15.6376666666667,43.0,26.335,22.164,83,29,84,3168,26,false
437923042,408.57204,16.6666666666667,43.0,26.335,22.164,83,31,84,3168,27,false
437938221,408.587219,16.4583333333333,43.0,26.335,22.164,83,31,84,3168,27,false
