t_usec,elapsed_sec,frame_ms,fps,process_ms,physics_ms,enemies,projectiles,physics_objects,nodes,chunks,flow_building
260873073,231.522071,29.1666666666667,35.0,28.385,17.263,56,22,59,3066,20,false
260910206,231.559204,32.7940370370432,35.0,28.385,17.263,56,22,61,3075,20,false
260929087,231.578085,29.6296296296296,35.0,28.385,17.263,56,22,61,3072,20,false
260955331,231.604329,28.7800370370309,35.0,28.385,17.263,56,22,61,3140,20,false
260993839,231.642837,29.6296296296296,35.0,28.385,17.263,56,22,61,3147,20,false
261027465,231.676463,29.6296296296296,35.0,28.385,17.263,56,22,61,3144,20,false
261061819,231.710817,29.6296296296296,39.0,27.311,13.948,56,22,61,3138,20,false
261092660,231.741658,35.3964444444506,39.0,27.311,13.948,56,22,63,3144,20,false
261126117,231.775115,30.3030303030303,39.0,27.311,13.948,56,22,61,3127,20,false
261144718,231.793716,28.7449696969636,39.0,27.311,13.948,56,22,60,3116,20,false
261178813,231.827811,30.3030303030303,39.0,27.311,13.948,61,20,62,3120,20,true
261203785,231.852783,30.0,39.0,27.311,13.948,61,20,61,3117,20,true
261234040,231.883038,30.0,39.0,27.311,13.948,61,20,61,3077,20,true
261259177,231.908175,30.0,39.0,27.311,13.948,61,20,62,3070,20,true
261282297,231.931295,29.6969696969697,39.0,27.311,13.948,61,20,62,3067,20,true
261304325,231.953323,21.3866666666728,39.0,27.311,13.948,61,20,62,3066,20,true
261330692,231.97969,28.685,39.0,27.311,13.948,61,20,64,3070,20,true
261348400,231.997398,19.978,39.0,27.311,13.948,61,20,64,3072,20,true
261370201,232.019199,21.856,39.0,27.311,13.948,61,20,64,3066,20,true
261390970,232.039968,20.208,39.0,27.311,13.948,61,20,63,3123,20,true
261431864,232.080862,21.2196666666605,39.0,27.311,13.948,61,20,64,3119,20,true
261465554,232.114552,32.6336666666728,39.0,27.311,13.948,61,20,64,3117,20,true
261521479,232.170477,50.6623333333333,39.0,27.311,13.948,61,20,63,3105,20,true
261569508,232.218506,50.0373333333272,39.0,27.311,13.948,61,20,64,3113,20,true
261624064,232.273062,50.0,39.0,27.311,13.948,61,20,62,3093,20,true
261674002,232.323,50.0,39.0,27.311,13.948,61,20,63,3092,20,true
261719734,232.368732,50.0,39.0,27.311,13.948,62,23,63,3087,20,false
261764783,232.413781,48.4266666666728,39.0,27.311,13.948,62,23,61,3094,20,false
261801433,232.450431,47.1363333333333,39.0,27.311,13.948,62,23,63,3095,20,false
261837404,232.486402,37.7703333333272,39.0,27.311,13.948,62,23,66,3105,20,false
261875181,232.524179,34.0886666666728,39.0,27.311,13.948,62,23,65,3106,20,false
261903419,232.552417,36.249,39.0,27.311,13.948,62,23,66,3111,20,false
261934874,232.583872,33.284,39.0,27.311,13.948,62,23,66,3126,20,false
261958437,232.607435,23.91,39.0,27.311,13.948,62,23,66,3150,20,false
262001735,232.650733,33.3333333333333,39.0,27.311,13.948,62,23,67,3153,20,false
262043688,232.692686,33.3333333333333,39.0,27.311,13.948,62,23,67,3152,20,false
262075009,232.724007,33.3333333333333,30.0,31.928,10.593,62,23,65,3151,20,false
262104008,232.753006,33.3333333333333,30.0,31.928,10.593,62,23,65,3151,20,false
262139351,232.788349,33.3333333333333,30.0,31.928,10.593,62,23,61,3187,20,false
262169279,232.818277,33.3333333333333,30.0,31.928,10.593,62,23,63,3193,20,false
262194783,232.843781,33.3333333333333,30.0,31.928,10.593,62,23,63,3181,20,false
262259884,232.908882,38.598,30.0,31.928,10.593,62,24,63,3181,24,false
262304179,232.953177,50.224,30.0,31.928,10.593,62,24,65,3179,24,false
262329621,232.978619,33.3333333333333,30.0,31.928,10.593,62,24,65,3173,24,false
262337963,232.986961,29.6293333333333,30.0,31.928,10.593,62,24,65,3174,24,false
262352689,233.001687,16.194,30.0,31.928,10.593,62,24,65,3174,24,false
262370569,233.019567,17.171,30.0,31.928,10.593,62,24,65,3174,24,false
262392767,233.041765,18.435,30.0,31.928,10.593,62,24,65,3174,24,false
262410219,233.059217,17.374,30.0,31.928,10.593,62,24,65,3175,24,false
262424997,233.073995,17.005,30.0,31.928,10.593,62,24,65,3175,24,false
262436629,233.085627,13.156,30.0,31.928,10.593,62,24,65,3175,24,false
262458630,233.107628,18.75,30.0,31.928,10.593,62,24,65,3175,24,false
262480932,233.12993,19.2653333333272,30.0,31.928,10.593,62,24,65,3175,24,false
262499712,233.14871,18.75,30.0,31.928,10.593,62,24,65,3175,24,false
262514635,233.163633,18.75,30.0,31.928,10.593,62,24,65,3175,24,false
262521879,233.170877,11.1506666666728,30.0,31.928,10.593,62,24,65,3175,24,false
262536510,233.185508,13.283,30.0,31.928,10.593,62,24,65,3175,24,false
262553632,233.20263,16.6666666666667,30.0,31.928,10.593,62,24,65,3175,24,false
262572203,233.221201,16.6666666666667,30.0,31.928,10.593,62,24,65,3175,24,false
262589467,233.238465,16.6666666666667,30.0,31.928,10.593,62,24,65,3175,24,false
262606990,233.255988,16.6666666666667,30.0,31.928,10.593,62,24,65,3175,24,false
262620093,233.269091,16.6503333333333,30.0,31.928,10.593,62,24,65,3175,24,false
262639167,233.288165,16.6666666666667,30.0,31.928,10.593,62,24,65,3175,24,false
262655087,233.304085,16.6666666666667,30.0,31.928,10.593,62,24,65,3175,24,false
262672364,233.321362,15.2777777777778,30.0,31.928,10.593,62,24,65,3175,24,false
262687483,233.336481,15.2777777777778,30.0,31.928,10.593,62,24,65,3175,24,false
262705149,233.354147,15.2777777777778,30.0,31.928,10.593,62,24,65,3175,24,false
262723905,233.372903,15.903,30.0,31.928,10.593,62,24,65,3175,24,false
262749942,233.39894,16.6666666666667,30.0,31.928,10.593,64,26,65,3175,24,false
262771029,233.420027,21.719,30.0,31.928,10.593,64,26,65,3175,24,false
262789540,233.438538,18.182,30.0,31.928,10.593,64,26,65,3175,24,false
262807636,233.456634,17.843,30.0,31.928,10.593,64,26,65,3176,24,false
262822317,233.471315,16.6666666666667,30.0,31.928,10.593,64,26,65,3176,24,false
262839145,233.488143,16.6666666666667,30.0,31.928,10.593,64,26,65,3176,24,false
262855816,233.504814,16.6666666666667,30.0,31.928,10.593,64,26,65,3176,24,false
262869995,233.518993,16.6666666666667,30.0,31.928,10.593,64,26,65,3176,24,false
262888216,233.537214,16.6666666666667,30.0,31.928,10.593,64,26,65,3176,24,false
262903182,233.55218,16.6666666666667,30.0,31.928,10.593,64,26,65,3176,24,false
262920910,233.569908,16.6666666666667,30.0,31.928,10.593,64,26,65,3176,24,false
262937611,233.586609,16.6666666666667,30.0,31.928,10.593,64,26,65,3176,24,false
262954124,233.603122,16.6666666666667,30.0,31.928,10.593,64,26,65,3176,24,false
262969447,233.618445,16.6666666666667,30.0,31.928,10.593,64,26,65,3176,24,false
262986401,233.635399,16.6666666666667,30.0,31.928,10.593,64,26,65,3176,24,false
263004164,233.653162,16.6666666666667,30.0,31.928,10.593,64,26,65,3176,24,false
263020929,233.669927,16.6666666666667,48.0,40.193,10.968,64,26,65,3176,24,false
263037252,233.68625,16.6666666666667,48.0,40.193,10.968,64,26,65,3176,24,false
263055017,233.704015,16.6666666666667,48.0,40.193,10.968,64,26,65,3177,24,false
263069734,233.718732,16.6666666666667,48.0,40.193,10.968,64,26,65,3177,24,false
263085697,233.734695,16.6666666666667,48.0,40.193,10.968,64,26,65,3177,24,false
263102411,233.751409,16.6666666666667,48.0,40.193,10.968,64,26,65,3177,24,false
263122912,233.77191,16.6666666666667,48.0,40.193,10.968,64,26,65,3177,24,false
263136107,233.785105,16.6666666666667,48.0,40.193,10.968,64,26,65,3177,24,false
263153159,233.802157,16.6666666666667,48.0,40.193,10.968,64,26,65,3177,24,false
263170625,233.819623,16.6666666666667,48.0,40.193,10.968,64,26,65,3179,24,false
263186078,233.835076,16.6666666666667,48.0,40.193,10.968,64,26,65,3179,24,false
263202165,233.851163,16.6666666666667,48.0,40.193,10.968,64,26,65,3179,24,false
263219228,233.868226,16.6666666666667,48.0,40.193,10.968,64,26,65,3179,24,false
263235101,233.884099,16.6666666666667,48.0,40.193,10.968,64,26,65,3179,24,false
263253027,233.902025,16.6666666666667,48.0,40.193,10.968,64,30,65,3179,24,false
263270219,233.919217,16.6666666666667,48.0,40.193,10.968,64,30,65,3179,24,false
263285500,233.934498,16.6666666666667,48.0,40.193,10.968,64,30,65,3179,24,false
263301948,233.950946,16.6666666666667,48.0,40.193,10.968,64,30,65,3179,24,false
263318998,233.967996,16.6666666666667,48.0,40.193,10.968,64,30,65,3179,24,false
263336534,233.985532,16.6666666666667,48.0,40.193,10.968,64,30,65,3179,24,false
263352788,234.001786,16.6666666666667,48.0,40.193,10.968,64,30,65,3179,24,false
263368992,234.01799,16.6666666666667,48.0,40.193,10.968,64,30,65,3179,24,false
263385855,234.034853,16.6666666666667,48.0,40.193,10.968,64,30,65,3179,24,false
263402560,234.051558,16.6666666666667,48.0,40.193,10.968,64,30,65,3179,24,false
263419561,234.068559,16.6666666666667,48.0,40.193,10.968,64,30,65,3179,24,false
263436144,234.085142,16.6666666666667,48.0,40.193,10.968,64,30,65,3179,24,false
263452730,234.101728,16.6666666666667,48.0,40.193,10.968,64,30,65,3180,24,false
263468404,234.117402,16.6666666666667,48.0,40.193,10.968,64,30,65,3180,24,false
263487227,234.136225,16.6666666666667,48.0,40.193,10.968,64,30,65,3181,24,false
263502818,234.151816,16.6666666666667,48.0,40.193,10.968,64,30,65,3182,24,false
263518545,234.167543,16.6666666666667,48.0,40.193,10.968,64,30,65,3182,24,false
263534999,234.183997,16.6666666666667,48.0,40.193,10.968,64,30,65,3182,24,false
263552262,234.20126,16.6666666666667,48.0,40.193,10.968,64,30,65,3182,24,false
263568983,234.217981,16.6666666666667,48.0,40.193,10.968,64,30,65,3182,24,false
263592636,234.241634,16.6666666666667,48.0,40.193,10.968,64,30,65,3171,24,false
263613689,234.262687,18.3196666666667,48.0,40.193,10.968,64,30,64,3167,24,false
263641999,234.290997,24.28,48.0,40.193,10.968,64,30,64,3163,24,false
263661234,234.310232,24.362,48.0,40.193,10.968,64,30,64,3163,24,false
263689902,234.3389,23.336,48.0,40.193,10.968,64,30,64,3152,24,false
263707004,234.356002,22.2222222222222,48.0,40.193,10.968,64,30,56,3152,24,false
263741434,234.390432,28.9827777777778,48.0,40.193,10.968,64,30,59,3150,24,false
263759727,234.408725,23.8095238095238,48.0,40.193,10.968,64,30,59,3146,24,false
263789886,234.438884,24.0740740740741,48.0,40.193,10.968,55,32,56,3147,24,true
263804850,234.453848,24.0740740740741,48.0,40.193,10.968,55,32,56,3147,24,true
263824006,234.473004,21.8086613756553,48.0,40.193,10.968,55,32,56,3147,24,true
263844648,234.493646,23.8095238095238,48.0,40.193,10.968,55,32,56,3148,24,true
263864697,234.513695,23.8095238095238,48.0,40.193,10.968,55,32,56,3146,24,true
263886529,234.535527,21.7002857142918,48.0,40.193,10.968,55,32,56,3146,24,true
263909314,234.558312,23.8095238095238,48.0,40.193,10.968,55,32,56,3146,24,true
263925594,234.574592,21.1434761904762,48.0,40.193,10.968,55,32,56,3148,24,true
263952023,234.601021,19.355,48.0,40.193,10.968,55,32,56,3148,24,true
263965095,234.614093,19.595,48.0,40.193,10.968,55,32,56,3148,24,true
263983934,234.632932,19.991,48.0,40.193,10.968,55,32,56,3147,24,true
264004776,234.653774,21.581,48.0,40.193,10.968,55,32,56,3147,24,true
264022849,234.671847,17.864,54.0,21.759,9.043,55,32,56,3147,24,true
264039328,234.688326,15.756,54.0,21.759,9.043,55,32,56,3147,24,true
264055760,234.704758,17.186,54.0,21.759,9.043,55,32,56,3147,24,true
264071806,234.720804,15.833,54.0,21.759,9.043,55,32,56,3146,24,true
264091565,234.740563,17.134,54.0,21.759,9.043,55,32,56,3216,24,true
264116878,234.765876,21.4326666666606,54.0,21.759,9.043,55,32,54,3216,24,true
264136270,234.785268,18.5185185185185,54.0,21.759,9.043,55,32,55,3214,24,true
264163339,234.812337,18.75,54.0,21.759,9.043,55,32,55,3214,24,true
264182321,234.831319,18.75,54.0,21.759,9.043,55,32,55,3211,24,true
264214786,234.863784,23.1371481481542,54.0,21.759,9.043,55,32,53,3202,24,true
264237756,234.886754,24.014,54.0,21.759,9.043,55,32,53,3203,24,true
264271419,234.920417,30.629,54.0,21.759,9.043,55,32,53,3193,24,true
264292882,234.94188,26.319,54.0,21.759,9.043,51,33,52,3182,24,false
264322794,234.971792,30.22,54.0,21.759,9.043,51,33,52,3181,24,false
