job_index,name,source,core,tier,spent,node_count,hp_per_second,kills_per_second,player_hp_lost,deaths,min_hp,followers_per_minute,q_casts,v_casts,generated,frame_p95_ms,gear_set,gear_rank,q,v,nodes
0,Execution early,preset,melee,seg2,1000,5,1376.49,8.875,50.7,0,107.8,1080.0,0,0,156,1.23,gravemarch,1,,,core.melee EX01 EX02 EX03 EX04
4,Momentum developed,preset,melee,seg4,4400,10,3693.24,27.625,0.0,0,149.5,3412.5,1,0,104,5.24,lattice,3,MOQ,,core.melee MO01 MO02 MO03 MO04 MO07 MO12 MOQ MOQ1 MOF1
8,Bastion pure,preset,melee,seg6,14200,16,1257.58,7.500,90.4,0,62.6,862.5,80,0,299,1.23,conduit,6,BAQ,BAV,core.melee BA01 BA02 BA03 BA04 BA08 BA09 BA10 BAQ BAQ2 BAQ4 BAF2 BAK1 BAC BAV BAE2
12,Barrage early,preset,ranged,seg2,1000,5,588.93,3.625,102.6,0,69.0,450.0,0,0,536,0.83,conduit,1,,,core.ranged BR01 BR02 BR04 BR05
16,Ordnance developed,preset,ranged,seg4,5200,11,3012.17,21.375,164.9,1,14.4,2512.5,3,0,804,0.92,gravemarch,3,ORQ,,core.ranged OR01 OR02 OR03 OR04 OR09 OR08 OR12 ORQ ORQ1 ORF1
20,Invocation pure,preset,magic,seg6,13600,15,1660.31,13.500,110.8,1,11.5,1537.5,1,0,330,2.70,lattice,6,INQ,INV,core.magic IN01 IN02 IN05 IN04 IN10 IN11 IN06 INQ INQ6 INF2 INK1 INC INV INE2
24,Dominion early,preset,magic,seg2,1200,5,2754.66,19.875,109.0,1,20.1,2700.0,0,0,1023,3.27,lattice,1,,,core.magic DO01 DO02 DO04 DO06
28,Hybrid: Corpse artillery,preset,melee,seg9,16400,20,6934.44,47.375,79.4,0,97.7,6225.0,1,2,733,6.04,lattice,10,EXQ,EXV,core.melee EX01 EX02 EX03 EX04 EX05 EX06 EX10 EXQ EXQ3 EXF2 EXC EXV EXE2 G1 core.ranged OR01 OR03 OR04 MR3
32,Hybrid: Runes and mines,preset,ranged,seg9,18000,22,3452.67,23.625,145.0,1,14.4,3330.0,6,1,786,2.20,lattice,10,ORQ,ORV,core.ranged OR01 OR02 OR03 OR04 OR09 OR08 OR12 ORQ ORQ1 ORF1 ORC ORV ORE1 G1 core.magic IN02 IN06 IN09 RM7 OR05 OR06
36,Ascendant: Three-Core avalanche,preset,melee,seg12,71000,51,7161.26,44.500,72.5,0,168.1,5970.0,1,2,3864,1.70,gravemarch,15,EXQ,EXV,core.melee EX01 EX02 EX03 EX04 EX05 EX06 EX10 EXQ EXQ3 EXF2 EXC EXV EXE2 G1 core.ranged BR01 BR02 BR04 BR05 BR09 BR10 BR11 BR08 BRQ BRQ4 BRF2 BRC BRV BRE2 MR2 G2 core.magic DT01 DT02 DT03 DT06 DT10 DT08 DT09 DT12 DTQ DTQ6 DTF2 DTC DTV DTE2 MM2 RM5 ASC ASC3
40,Authored: Kill Line,authored,ranged,seg6,12800,15,710.64,4.375,161.6,0,36.1,555.0,80,0,136,1.04,conduit,6,PRQ,PRV,core.ranged PR01 PR02 PR03 PR04 PR07 PR09 PR12 PRQ PRQ5 PR05 PRF1 PRC PRV PRE1
44,Authored: Loaded Coin,authored,magic,seg6,13600,15,2900.53,21.000,118.6,0,78.8,2662.5,1,1,1706,1.34,conduit,6,DTQ,DTV,core.magic DT01 DT02 DT03 DT06 DT10 DT08 DT09 DT12 DTQ DTQ6 DTF2 DTC DTV DTE2
48,Authored: Death Debt,authored,melee,seg9,20600,26,4217.28,30.625,184.2,0,28.8,3877.5,1,1,2300,1.82,conduit,10,EXQ,EXV,core.melee EX01 EX02 EX03 EX04 EX05 EX06 EX10 EXQ EXQ3 EXF2 EXC EXV EXE2 G1 core.magic DT01 DT06 DT03 DT02 DT10 DT08 DT09 DT12 DTF2 MM2
52,Authored: Three-Core avalanche,authored,melee,seg12,71000,51,6585.31,44.750,73.2,0,171.0,6045.0,1,2,3101,1.61,gravemarch,15,EXQ,EXV,core.melee EX01 EX02 EX03 EX04 EX05 EX06 EX10 EXQ EXQ3 EXF2 EXC EXV EXE2 G1 core.ranged BR01 BR02 BR04 BR05 BR09 BR10 BR11 BR08 BRQ BRQ4 BRF2 BRC BRV BRE2 MR2 G2 core.magic DT01 DT02 DT03 DT06 DT10 DT08 DT09 DT12 DTQ DTQ6 DTF2 DTC DTV DTE2 MM2 RM5 ASC ASC3
